home_team,away_team,home_score,home_xg,away_score,away_xg,Attendance,Venue,Round,Date,Score,Host,Year
Germany,Republic of Ireland,1,,1,,35854,"Kashima Soccer Stadium, Kashima",Group stage,05-06-2002,1–1,"Korea Republic, Japan",2002
China PR,Costa Rica,0,,2,,27217,"Guus Hiddink Stadium, Gwangju",Group stage,04-06-2002,0–2,"Korea Republic, Japan",2002
Japan,Belgium,2,,2,,55256,"Saitama Stadium 2002, Saitama",Group stage,04-06-2002,2–2,"Korea Republic, Japan",2002
Korea Republic,Poland,2,,0,,48760,"Busan Sport Complex Asiad Stadium, Busan",Group stage,04-06-2002,2–0,"Korea Republic, Japan",2002
Croatia,Mexico,0,,1,,32239,"Denka Big Swan Stadium, Niigata",Group stage,03-06-2002,0–1,"Korea Republic, Japan",2002
Brazil,Türkiye,2,,1,,33842,"Munsu Cup Stadium, Ulsan",Group stage,03-06-2002,2–1,"Korea Republic, Japan",2002
Italy,Ecuador,2,,0,,31081,"Sapporo Dome, Sapporo",Group stage,03-06-2002,2–0,"Korea Republic, Japan",2002
Argentina,Nigeria,1,,0,,34050,"Kashima Soccer Stadium, Kashima",Group stage,02-06-2002,1–0,"Korea Republic, Japan",2002
Paraguay,South Africa,2,,2,,25186,"Busan Sport Complex Asiad Stadium, Busan",Group stage,02-06-2002,2–2,"Korea Republic, Japan",2002
England,Sweden,1,,1,,52721,"Saitama Stadium 2002, Saitama",Group stage,02-06-2002,1–1,"Korea Republic, Japan",2002
Spain,Slovenia,3,,1,,28588,"Guus Hiddink Stadium, Gwangju",Group stage,02-06-2002,3–1,"Korea Republic, Japan",2002
Republic of Ireland,Cameroon,1,,1,,33679,"Denka Big Swan Stadium, Niigata",Group stage,01-06-2002,1–1,"Korea Republic, Japan",2002
Uruguay,Denmark,1,,2,,30157,"Munsu Cup Stadium, Ulsan",Group stage,01-06-2002,1–2,"Korea Republic, Japan",2002
Germany,Saudi Arabia,8,,0,,32218,"Sapporo Dome, Sapporo",Group stage,01-06-2002,8–0,"Korea Republic, Japan",2002
France,Senegal,0,,1,,62561,"Seoul World Cup Stadium, Seoul",Group stage,31-05-2002,0–1,"Korea Republic, Japan",2002
Brazil,France,0,,3,,80000,"Stade de France, Paris",Final,12-07-1998,0–3,France,1998
Netherlands,Croatia,1,,2,,44000,"Parc des Princes, Paris",Third-place match,11-07-1998,1–2,France,1998
France,Croatia,2,,1,,80000,"Stade de France, Paris",Semi-finals,08-07-1998,2–1,France,1998
Brazil,Netherlands,1,,1,,60000,"Orange Vélodrome, Marseille",Semi-finals,07-07-1998,(4) 1–1 (2),France,1998
Netherlands,Argentina,2,,1,,60000,"Orange Vélodrome, Marseille",Quarter-finals,04-07-1998,2–1,France,1998
Germany,Croatia,0,,3,,43300,"Matmut Stadium de Gerland, Lyon",Quarter-finals,04-07-1998,0–3,France,1998
Italy,France,0,,0,,80000,"Stade de France, Paris",Quarter-finals,03-07-1998,(3) 0–0 (4),France,1998
Brazil,Denmark,3,,2,,49500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",Quarter-finals,03-07-1998,3–2,France,1998
Romania,Croatia,0,,1,,31800,"Stade Jacques Chaban-Delmas, Bordeaux",Round of 16,30-06-1998,0–1,France,1998
Argentina,England,2,,2,,30600,"Stade Geoffroy-Guichard, Saint-Étienne",Round of 16,30-06-1998,(4) 2–2 (3),France,1998
Germany,Mexico,2,,1,,29800,"Stade de la Mosson, Montpellier",Round of 16,29-06-1998,2–1,France,1998
Netherlands,FR Yugoslavia,2,,1,,33000,"Stadium Municipal, Toulouse",Round of 16,29-06-1998,2–1,France,1998
France,Paraguay,1,,0,,31800,"Stade Bollaert-Delelis, Lens",Round of 16,28-06-1998,1–0,France,1998
Nigeria,Denmark,1,,4,,77000,"Stade de France, Paris",Round of 16,28-06-1998,1–4,France,1998
Italy,Norway,1,,0,,55000,"Orange Vélodrome, Marseille",Round of 16,27-06-1998,1–0,France,1998
Brazil,Chile,4,,1,,45500,"Parc des Princes, Paris",Round of 16,27-06-1998,4–1,France,1998
Argentina,Croatia,1,,0,,31800,"Stade Jacques Chaban-Delmas, Bordeaux",Group stage,26-06-1998,1–0,France,1998
Japan,Jamaica,1,,2,,39100,"Matmut Stadium de Gerland, Lyon",Group stage,26-06-1998,1–2,France,1998
Romania,Tunisia,1,,1,,80000,"Stade de France, Paris",Group stage,26-06-1998,1–1,France,1998
Colombia,England,0,,2,,42000,"Stade Bollaert-Delelis, Lens",Group stage,26-06-1998,0–2,France,1998
Netherlands,Mexico,2,,2,,30600,"Stade Geoffroy-Guichard, Saint-Étienne",Group stage,25-06-1998,2–2,France,1998
Belgium,Korea Republic,1,,1,,45500,"Parc des Princes, Paris",Group stage,25-06-1998,1–1,France,1998
United States,FR Yugoslavia,0,,1,,38500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",Group stage,25-06-1998,0–1,France,1998
Germany,IR Iran,2,,0,,35500,"Stade de la Mosson, Montpellier",Group stage,25-06-1998,2–0,France,1998
South Africa,Saudi Arabia,2,,2,,31800,"Stade Jacques Chaban-Delmas, Bordeaux",Group stage,24-06-1998,2–2,France,1998
France,Denmark,2,,1,,39100,"Matmut Stadium de Gerland, Lyon",Group stage,24-06-1998,2–1,France,1998
Spain,Bulgaria,6,,1,,41275,"Stade Bollaert-Delelis, Lens",Group stage,24-06-1998,6–1,France,1998
Nigeria,Paraguay,1,,3,,33400,"Stadium Municipal, Toulouse",Group stage,24-06-1998,1–3,France,1998
Italy,Austria,2,,1,,80000,"Stade de France, Paris",Group stage,23-06-1998,2–1,France,1998
Chile,Cameroon,1,,1,,39500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",Group stage,23-06-1998,1–1,France,1998
Brazil,Norway,1,,2,,57000,"Orange Vélodrome, Marseille",Group stage,23-06-1998,1–2,France,1998
Scotland,Morocco,0,,3,,36000,"Stade Geoffroy-Guichard, Saint-Étienne",Group stage,23-06-1998,0–3,France,1998
Colombia,Tunisia,1,,0,,35500,"Stade de la Mosson, Montpellier",Group stage,22-06-1998,1–0,France,1998
Romania,England,2,,1,,33140,"Stadium Municipal, Toulouse",Group stage,22-06-1998,2–1,France,1998
Germany,FR Yugoslavia,2,,2,,41275,"Stade Bollaert-Delelis, Lens",Group stage,21-06-1998,2–2,France,1998
Argentina,Jamaica,5,,0,,45500,"Parc des Princes, Paris",Group stage,21-06-1998,5–0,France,1998
United States,IR Iran,1,,2,,43300,"Matmut Stadium de Gerland, Lyon",Group stage,21-06-1998,1–2,France,1998
Japan,Croatia,0,,1,,35500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",Group stage,20-06-1998,0–1,France,1998
Belgium,Mexico,2,,2,,31800,"Stade Jacques Chaban-Delmas, Bordeaux",Group stage,20-06-1998,2–2,France,1998
Netherlands,Korea Republic,5,,0,,55000,"Orange Vélodrome, Marseille",Group stage,20-06-1998,5–0,France,1998
Nigeria,Bulgaria,1,,0,,48000,"Parc des Princes, Paris",Group stage,19-06-1998,1–0,France,1998
Spain,Paraguay,0,,0,,36000,"Stade Geoffroy-Guichard, Saint-Étienne",Group stage,19-06-1998,0–0,France,1998
South Africa,Denmark,1,,1,,33500,"Stadium Municipal, Toulouse",Group stage,18-06-1998,1–1,France,1998
France,Saudi Arabia,4,,0,,80000,"Stade de France, Paris",Group stage,18-06-1998,4–0,France,1998
Chile,Austria,1,,1,,36000,"Stade Geoffroy-Guichard, Saint-Étienne",Group stage,17-06-1998,1–1,France,1998
Italy,Cameroon,3,,0,,35500,"Stade de la Mosson, Montpellier",Group stage,17-06-1998,3–0,France,1998
Scotland,Norway,1,,1,,31800,"Stade Jacques Chaban-Delmas, Bordeaux",Group stage,16-06-1998,1–1,France,1998
Brazil,Morocco,3,,0,,38500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",Group stage,16-06-1998,3–0,France,1998
England,Tunisia,2,,0,,54587,"Orange Vélodrome, Marseille",Group stage,15-06-1998,2–0,France,1998
Romania,Colombia,1,,0,,43300,"Matmut Stadium de Gerland, Lyon",Group stage,15-06-1998,1–0,France,1998
Germany,United States,2,,0,,49000,"Parc des Princes, Paris",Group stage,15-06-1998,2–0,France,1998
Argentina,Japan,1,,0,,33500,"Stadium Municipal, Toulouse",Group stage,14-06-1998,1–0,France,1998
FR Yugoslavia,IR Iran,1,,0,,36000,"Stade Geoffroy-Guichard, Saint-Étienne",Group stage,14-06-1998,1–0,France,1998
Jamaica,Croatia,1,,3,,38100,"Stade Bollaert-Delelis, Lens",Group stage,14-06-1998,1–3,France,1998
Spain,Nigeria,2,,3,,38000,"Stade de la Beaujoire - Louis Fonteneau, Nantes",Group stage,13-06-1998,2–3,France,1998
Korea Republic,Mexico,1,,3,,39100,"Matmut Stadium de Gerland, Lyon",Group stage,13-06-1998,1–3,France,1998
Netherlands,Belgium,0,,0,,77000,"Stade de France, Paris",Group stage,13-06-1998,0–0,France,1998
Paraguay,Bulgaria,0,,0,,27650,"Stade de la Mosson, Montpellier",Group stage,12-06-1998,0–0,France,1998
Saudi Arabia,Denmark,0,,1,,38100,"Stade Bollaert-Delelis, Lens",Group stage,12-06-1998,0–1,France,1998
France,South Africa,3,,0,,55000,"Orange Vélodrome, Marseille",Group stage,12-06-1998,3–0,France,1998
Italy,Chile,2,,2,,35200,"Stade Jacques Chaban-Delmas, Bordeaux",Group stage,11-06-1998,2–2,France,1998
Cameroon,Austria,1,,1,,36500,"Stadium Municipal, Toulouse",Group stage,11-06-1998,1–1,France,1998
Brazil,Scotland,2,,1,,80000,"Stade de France, Paris",Group stage,10-06-1998,2–1,France,1998
Morocco,Norway,2,,2,,29750,"Stade de la Mosson, Montpellier",Group stage,10-06-1998,2–2,France,1998
Brazil,Italy,0,,0,,94194,"Rose Bowl, Los Angeles",Final,17-07-1994,(3) 0–0 (2),United States,1994
Sweden,Bulgaria,4,,0,,91500,"Rose Bowl, Los Angeles",Third-place match,16-07-1994,4–0,United States,1994
Bulgaria,Italy,1,,2,,74110,"Giants Stadium, New York/New Jersey",Semi-finals,13-07-1994,1–2,United States,1994
Sweden,Brazil,0,,1,,91856,"Rose Bowl, Los Angeles",Semi-finals,13-07-1994,0–1,United States,1994
Bulgaria,Germany,2,,1,,72000,"Giants Stadium, New York/New Jersey",Quarter-finals,10-07-1994,2–1,United States,1994
Romania,Sweden,2,,2,,83500,"Stanford Stadium, San Francisco",Quarter-finals,10-07-1994,(4) 2–2 (5),United States,1994
Italy,Spain,2,,1,,53400,"Foxboro Stadium, Boston",Quarter-finals,09-07-1994,2–1,United States,1994
Netherlands,Brazil,2,,3,,63500,"Cotton Bowl, Dallas",Quarter-finals,09-07-1994,2–3,United States,1994
Nigeria,Italy,1,,2,,54367,"Foxboro Stadium, Boston",Round of 16,05-07-1994,1–2,United States,1994
Mexico,Bulgaria,1,,1,,71030,"Giants Stadium, New York/New Jersey",Round of 16,05-07-1994,(1) 1–1 (3),United States,1994
Netherlands,Republic of Ireland,2,,0,,61355,"Citrus Bowl, Orlando",Round of 16,04-07-1994,2–0,United States,1994
Brazil,United States,1,,0,,84147,"Stanford Stadium, San Francisco",Round of 16,04-07-1994,1–0,United States,1994
Saudi Arabia,Sweden,1,,3,,60277,"Cotton Bowl, Dallas",Round of 16,03-07-1994,1–3,United States,1994
Romania,Argentina,3,,2,,90469,"Rose Bowl, Los Angeles",Round of 16,03-07-1994,3–2,United States,1994
Germany,Belgium,3,,2,,60246,"Soldier Field, Chicago",Round of 16,02-07-1994,3–2,United States,1994
Spain,Switzerland,3,,0,,53121,"RFK Stadium, Washington Dc",Round of 16,02-07-1994,3–0,United States,1994
Greece,Nigeria,0,,2,,53001,"Foxboro Stadium, Boston",Group stage,30-06-1994,0–2,United States,1994
Argentina,Bulgaria,0,,2,,63998,"Cotton Bowl, Dallas",Group stage,30-06-1994,0–2,United States,1994
Morocco,Netherlands,1,,2,,60578,"Citrus Bowl, Orlando",Group stage,29-06-1994,1–2,United States,1994
Belgium,Saudi Arabia,0,,1,,52959,"RFK Stadium, Washington Dc",Group stage,29-06-1994,0–1,United States,1994
Italy,Mexico,1,,1,,52535,"RFK Stadium, Washington Dc",Group stage,28-06-1994,1–1,United States,1994
Republic of Ireland,Norway,0,,0,,72404,"Giants Stadium, New York/New Jersey",Group stage,28-06-1994,0–0,United States,1994
Russia,Cameroon,6,,1,,74914,"Stanford Stadium, San Francisco",Group stage,28-06-1994,6–1,United States,1994
Brazil,Sweden,1,,1,,77217,"Pontiac Silverdome, Detroit",Group stage,28-06-1994,1–1,United States,1994
Germany,Korea Republic,3,,2,,63998,"Cotton Bowl, Dallas",Group stage,27-06-1994,3–2,United States,1994
Bolivia,Spain,1,,3,,63089,"Soldier Field, Chicago",Group stage,27-06-1994,1–3,United States,1994
Bulgaria,Greece,4,,0,,63160,"Soldier Field, Chicago",Group stage,26-06-1994,4–0,United States,1994
United States,Romania,0,,1,,93869,"Rose Bowl, Los Angeles",Group stage,26-06-1994,0–1,United States,1994
Switzerland,Colombia,0,,2,,83401,"Stanford Stadium, San Francisco",Group stage,26-06-1994,0–2,United States,1994
Belgium,Netherlands,1,,0,,62387,"Citrus Bowl, Orlando",Group stage,25-06-1994,1–0,United States,1994
Saudi Arabia,Morocco,2,,1,,76322,"Giants Stadium, New York/New Jersey",Group stage,25-06-1994,2–1,United States,1994
Argentina,Nigeria,2,,1,,54453,"Foxboro Stadium, Boston",Group stage,25-06-1994,2–1,United States,1994
Mexico,Republic of Ireland,2,,1,,60790,"Citrus Bowl, Orlando",Group stage,24-06-1994,2–1,United States,1994
Brazil,Cameroon,3,,0,,83401,"Stanford Stadium, San Francisco",Group stage,24-06-1994,3–0,United States,1994
Sweden,Russia,3,,1,,71528,"Pontiac Silverdome, Detroit",Group stage,24-06-1994,3–1,United States,1994
Italy,Norway,1,,0,,74624,"Giants Stadium, New York/New Jersey",Group stage,23-06-1994,1–0,United States,1994
Korea Republic,Bolivia,0,,0,,54453,"Foxboro Stadium, Boston",Group stage,23-06-1994,0–0,United States,1994
Romania,Switzerland,1,,4,,61428,"Pontiac Silverdome, Detroit",Group stage,22-06-1994,1–4,United States,1994
United States,Colombia,2,,1,,93869,"Rose Bowl, Los Angeles",Group stage,22-06-1994,2–1,United States,1994
Argentina,Greece,4,,0,,54456,"Foxboro Stadium, Boston",Group stage,21-06-1994,4–0,United States,1994
Germany,Spain,1,,1,,63113,"Soldier Field, Chicago",Group stage,21-06-1994,1–1,United States,1994
Nigeria,Bulgaria,3,,0,,44132,"Cotton Bowl, Dallas",Group stage,21-06-1994,3–0,United States,1994
Brazil,Russia,2,,0,,81061,"Stanford Stadium, San Francisco",Group stage,20-06-1994,2–0,United States,1994
Netherlands,Saudi Arabia,2,,1,,50535,"RFK Stadium, Washington Dc",Group stage,20-06-1994,2–1,United States,1994
Belgium,Morocco,1,,0,,61219,"Citrus Bowl, Orlando",Group stage,19-06-1994,1–0,United States,1994
Norway,Mexico,1,,0,,52395,"RFK Stadium, Washington Dc",Group stage,19-06-1994,1–0,United States,1994
Cameroon,Sweden,2,,2,,93194,"Rose Bowl, Los Angeles",Group stage,19-06-1994,2–2,United States,1994
United States,Switzerland,1,,1,,73425,"Pontiac Silverdome, Detroit",Group stage,18-06-1994,1–1,United States,1994
Italy,Republic of Ireland,0,,1,,75338,"Giants Stadium, New York/New Jersey",Group stage,18-06-1994,0–1,United States,1994
Colombia,Romania,1,,3,,91856,"Rose Bowl, Los Angeles",Group stage,18-06-1994,1–3,United States,1994
Germany,Bolivia,1,,0,,63117,"Soldier Field, Chicago",Group stage,17-06-1994,1–0,United States,1994
Spain,Korea Republic,2,,2,,56247,"Cotton Bowl, Dallas",Group stage,17-06-1994,2–2,United States,1994
West Germany,Argentina,1,,0,,73603,"Stadio Olimpico, Rome",Final,08-07-1990,1–0,Italy,1990
Italy,England,2,,1,,51426,"Stadio San Nicola, Bari",Third-place match,07-07-1990,2–1,Italy,1990
West Germany,England,1,,1,,62628,"Stadio delle Alpi, Turin",Semi-finals,04-07-1990,(4) 1–1 (3),Italy,1990
Italy,Argentina,1,,1,,59978,"San Paolo, Naples",Semi-finals,03-07-1990,(3) 1–1 (4),Italy,1990
West Germany,Czechoslovakia,1,,0,,73347,"Giuseppe Meazza, Milan",Quarter-finals,01-07-1990,1–0,Italy,1990
England,Cameroon,3,,2,,55205,"San Paolo, Naples",Quarter-finals,01-07-1990,3–2,Italy,1990
Yugoslavia,Argentina,0,,0,,38971,"Comunale, Florence",Quarter-finals,30-06-1990,(2) 0–0 (3),Italy,1990
Italy,Republic of Ireland,1,,0,,73303,"Stadio Olimpico, Rome",Quarter-finals,30-06-1990,1–0,Italy,1990
Spain,Yugoslavia,1,,2,,35500,"Marc Antonio Bentegodi, Verona",Round of 16,26-06-1990,1–2,Italy,1990
England,Belgium,1,,0,,34520,"Renato Dall Ara, Bologna",Round of 16,26-06-1990,1–0,Italy,1990
Republic of Ireland,Romania,0,,0,,31818,"Luigi Ferraris, Genoa",Round of 16,25-06-1990,(5) 0–0 (4),Italy,1990
Italy,Uruguay,2,,0,,73303,"Stadio Olimpico, Rome",Round of 16,25-06-1990,2–0,Italy,1990
Brazil,Argentina,0,,1,,61381,"Stadio delle Alpi, Turin",Round of 16,24-06-1990,0–1,Italy,1990
West Germany,Netherlands,2,,1,,74559,"Giuseppe Meazza, Milan",Round of 16,24-06-1990,2–1,Italy,1990
Cameroon,Colombia,2,,1,,50026,"San Paolo, Naples",Round of 16,23-06-1990,2–1,Italy,1990
Czechoslovakia,Costa Rica,4,,1,,47673,"Stadio San Nicola, Bari",Round of 16,23-06-1990,4–1,Italy,1990
Belgium,Spain,1,,2,,35950,"Marc Antonio Bentegodi, Verona",Group stage,21-06-1990,1–2,Italy,1990
Korea Republic,Uruguay,0,,1,,29039,"Friuli, Udine",Group stage,21-06-1990,0–1,Italy,1990
Republic of Ireland,Netherlands,1,,1,,33288,"Della Favorita, Palermo",Group stage,21-06-1990,1–1,Italy,1990
England,Egypt,1,,0,,34959,"Sant Elia, Cagliari",Group stage,21-06-1990,1–0,Italy,1990
Sweden,Costa Rica,1,,2,,30223,"Luigi Ferraris, Genoa",Group stage,20-06-1990,1–2,Italy,1990
Brazil,Scotland,1,,0,,62502,"Stadio delle Alpi, Turin",Group stage,20-06-1990,1–0,Italy,1990
West Germany,Colombia,1,,1,,72510,"Giuseppe Meazza, Milan",Group stage,19-06-1990,1–1,Italy,1990
Yugoslavia,United Arab Emirates,4,,1,,27833,"Renato Dall Ara, Bologna",Group stage,19-06-1990,4–1,Italy,1990
Austria,United States,2,,1,,34857,"Comunale, Florence",Group stage,19-06-1990,2–1,Italy,1990
Italy,Czechoslovakia,2,,0,,73303,"Stadio Olimpico, Rome",Group stage,19-06-1990,2–0,Italy,1990
Argentina,Romania,1,,1,,52733,"San Paolo, Naples",Group stage,18-06-1990,1–1,Italy,1990
Cameroon,Soviet Union,0,,4,,37307,"Stadio San Nicola, Bari",Group stage,18-06-1990,0–4,Italy,1990
Republic of Ireland,Egypt,0,,0,,33288,"Della Favorita, Palermo",Group stage,17-06-1990,0–0,Italy,1990
Belgium,Uruguay,3,,1,,33759,"Marc Antonio Bentegodi, Verona",Group stage,17-06-1990,3–1,Italy,1990
Korea Republic,Spain,1,,3,,32733,"Dacia Arena, Udine",Group stage,17-06-1990,1–3,Italy,1990
Brazil,Costa Rica,1,,0,,58007,"Stadio delle Alpi, Turin",Group stage,16-06-1990,1–0,Italy,1990
England,Netherlands,0,,0,,35267,"Sant Elia, Cagliari",Group stage,16-06-1990,0–0,Italy,1990
Sweden,Scotland,1,,2,,31823,"Luigi Ferraris, Genoa",Group stage,16-06-1990,1–2,Italy,1990
Austria,Czechoslovakia,0,,1,,38962,"Comunale, Florence",Group stage,15-06-1990,0–1,Italy,1990
West Germany,United Arab Emirates,5,,1,,71169,"Giuseppe Meazza, Milan",Group stage,15-06-1990,5–1,Italy,1990
Yugoslavia,Colombia,1,,0,,32257,"Renato Dall Ara, Bologna",Group stage,14-06-1990,1–0,Italy,1990
Cameroon,Romania,2,,1,,38687,"Stadio San Nicola, Bari",Group stage,14-06-1990,2–1,Italy,1990
Italy,United States,1,,0,,73423,"Stadio Olimpico, Rome",Group stage,14-06-1990,1–0,Italy,1990
Uruguay,Spain,0,,0,,35713,"Dacia Arena, Udine",Group stage,13-06-1990,0–0,Italy,1990
Argentina,Soviet Union,2,,0,,55759,"San Paolo, Naples",Group stage,13-06-1990,2–0,Italy,1990
Belgium,Korea Republic,2,,0,,32790,"Marc Antonio Bentegodi, Verona",Group stage,12-06-1990,2–0,Italy,1990
Netherlands,Egypt,1,,1,,33288,"Della Favorita, Palermo",Group stage,12-06-1990,1–1,Italy,1990
Costa Rica,Scotland,1,,0,,30867,"Luigi Ferraris, Genoa",Group stage,11-06-1990,1–0,Italy,1990
England,Republic of Ireland,1,,1,,35238,"Sant Elia, Cagliari",Group stage,11-06-1990,1–1,Italy,1990
United States,Czechoslovakia,1,,5,,33266,"Comunale, Florence",Group stage,10-06-1990,1–5,Italy,1990
West Germany,Yugoslavia,4,,1,,74765,"Giuseppe Meazza, Milan",Group stage,10-06-1990,4–1,Italy,1990
Brazil,Sweden,2,,1,,62628,"Stadio delle Alpi, Turin",Group stage,10-06-1990,2–1,Italy,1990
United Arab Emirates,Colombia,0,,2,,30791,"Renato Dall Ara, Bologna",Group stage,09-06-1990,0–2,Italy,1990
Soviet Union,Romania,0,,2,,42907,"Stadio San Nicola, Bari",Group stage,09-06-1990,0–2,Italy,1990
Italy,Austria,1,,0,,73303,"Stadio Olimpico, Rome",Group stage,09-06-1990,1–0,Italy,1990
Argentina,Cameroon,0,,1,,73780,"Giuseppe Meazza, Milan",Group stage,08-06-1990,0–1,Italy,1990
Argentina,West Germany,3,,2,,114600,"Estadio Azteca, Mexico City",Final,29-06-1986,3–2,Mexico,1986
France,Belgium,4,,2,,21000,"Cuauhtemoc, Puebla",Third-place match,28-06-1986,4–2,Mexico,1986
France,West Germany,0,,2,,45000,"Jalisco, Guadalajara",Semi-finals,25-06-1986,0–2,Mexico,1986
Argentina,Belgium,2,,0,,114500,"Estadio Azteca, Mexico City",Semi-finals,25-06-1986,2–0,Mexico,1986
Argentina,England,2,,1,,114580,"Estadio Azteca, Mexico City",Quarter-finals,22-06-1986,2–1,Mexico,1986
Spain,Belgium,1,,1,,45000,"Cuauhtemoc, Puebla",Quarter-finals,22-06-1986,(4) 1–1 (5),Mexico,1986
Brazil,France,1,,1,,65000,"Jalisco, Guadalajara",Quarter-finals,21-06-1986,(3) 1–1 (4),Mexico,1986
West Germany,Mexico,0,,0,,41700,"Estadio Universitario, Monterrey",Quarter-finals,21-06-1986,(4) 0–0 (1),Mexico,1986
England,Paraguay,3,,0,,98728,"Estadio Azteca, Mexico City",Round of 16,18-06-1986,3–0,Mexico,1986
Denmark,Spain,1,,5,,38500,"Estadio Corregidora, Queretaro",Round of 16,18-06-1986,1–5,Mexico,1986
Italy,France,0,,2,,70000,"Estadio Olï¿½mpico Universitario, Mexico City",Round of 16,17-06-1986,0–2,Mexico,1986
Morocco,West Germany,0,,1,,19800,"Estadio Universitario, Monterrey",Round of 16,17-06-1986,0–1,Mexico,1986
Brazil,Poland,4,,0,,45000,"Jalisco, Guadalajara",Round of 16,16-06-1986,4–0,Mexico,1986
Argentina,Uruguay,1,,0,,26000,"Cuauhtemoc, Puebla",Round of 16,16-06-1986,1–0,Mexico,1986
Mexico,Bulgaria,2,,0,,114580,"Estadio Azteca, Mexico City",Round of 16,15-06-1986,2–0,Mexico,1986
Soviet Union,Belgium,3,,4,,32277,"Nou Camp - Estadio Leï¿½n, Leon",Round of 16,15-06-1986,3–4,Mexico,1986
Scotland,Uruguay,0,,0,,20000,"Neza, Nezahualcoyotl",Group stage,13-06-1986,0–0,Mexico,1986
Denmark,West Germany,2,,0,,36000,"Estadio Corregidora, Queretaro",Group stage,13-06-1986,2–0,Mexico,1986
Algeria,Spain,0,,3,,23980,"Tecnologico, Monterrey",Group stage,12-06-1986,0–3,Mexico,1986
Northern Ireland,Brazil,0,,3,,51000,"Jalisco, Guadalajara",Group stage,12-06-1986,0–3,Mexico,1986
Paraguay,Belgium,2,,2,,16000,"Bombonera - Estadio Nemesio Diez, Toluca",Group stage,11-06-1986,2–2,Mexico,1986
Iraq,Mexico,0,,1,,103763,"Estadio Azteca, Mexico City",Group stage,11-06-1986,0–1,Mexico,1986
England,Poland,3,,0,,22700,"Tecnologico, Monterrey",Group stage,11-06-1986,3–0,Mexico,1986
Portugal,Morocco,1,,3,,28000,"Tres de Marzo, Guadalajara",Group stage,11-06-1986,1–3,Mexico,1986
Argentina,Bulgaria,2,,0,,65000,"Estadio Olï¿½mpico Universitario, Mexico City",Group stage,10-06-1986,2–0,Mexico,1986
Korea Republic,Italy,2,,3,,20000,"Cuauhtemoc, Puebla",Group stage,10-06-1986,2–3,Mexico,1986
Soviet Union,Canada,2,,0,,14200,"Estadio Irapuato, Irapuato",Group stage,09-06-1986,2–0,Mexico,1986
Hungary,France,0,,3,,31420,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,09-06-1986,0–3,Mexico,1986
West Germany,Scotland,2,,1,,30000,"Estadio Corregidora, Queretaro",Group stage,08-06-1986,2–1,Mexico,1986
Iraq,Belgium,1,,2,,20000,"Bombonera - Estadio Nemesio Diez, Toluca",Group stage,08-06-1986,1–2,Mexico,1986
Denmark,Uruguay,6,,1,,26500,"Neza, Nezahualcoyotl",Group stage,08-06-1986,6–1,Mexico,1986
Mexico,Paraguay,1,,1,,114600,"Estadio Azteca, Mexico City",Group stage,07-06-1986,1–1,Mexico,1986
Northern Ireland,Spain,1,,2,,28000,"Tres de Marzo, Guadalajara",Group stage,07-06-1986,1–2,Mexico,1986
Poland,Portugal,1,,0,,19915,"Estadio Universitario, Monterrey",Group stage,07-06-1986,1–0,Mexico,1986
Brazil,Algeria,1,,0,,48000,"Jalisco, Guadalajara",Group stage,06-06-1986,1–0,Mexico,1986
Hungary,Canada,2,,0,,13800,"Estadio Irapuato, Irapuato",Group stage,06-06-1986,2–0,Mexico,1986
England,Morocco,0,,0,,20200,"Tecnologico, Monterrey",Group stage,06-06-1986,0–0,Mexico,1986
Italy,Argentina,1,,1,,32000,"Cuauhtemoc, Puebla",Group stage,05-06-1986,1–1,Mexico,1986
France,Soviet Union,1,,1,,36540,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,05-06-1986,1–1,Mexico,1986
Korea Republic,Bulgaria,1,,1,,45000,"Estadio Olï¿½mpico Universitario, Mexico City",Group stage,05-06-1986,1–1,Mexico,1986
Paraguay,Iraq,1,,0,,24000,"Bombonera - Estadio Nemesio Diez, Toluca",Group stage,04-06-1986,1–0,Mexico,1986
Uruguay,West Germany,1,,1,,30500,"Estadio Corregidora, Queretaro",Group stage,04-06-1986,1–1,Mexico,1986
Scotland,Denmark,0,,1,,18000,"Neza, Nezahualcoyotl",Group stage,04-06-1986,0–1,Mexico,1986
Belgium,Mexico,1,,2,,110000,"Estadio Azteca, Mexico City",Group stage,03-06-1986,1–2,Mexico,1986
Algeria,Northern Ireland,1,,1,,22000,"Tres de Marzo, Guadalajara",Group stage,03-06-1986,1–1,Mexico,1986
Portugal,England,1,,0,,23000,"Tecnologico, Monterrey",Group stage,03-06-1986,1–0,Mexico,1986
Soviet Union,Hungary,6,,0,,16500,"Estadio Irapuato, Irapuato",Group stage,02-06-1986,6–0,Mexico,1986
Argentina,Korea Republic,3,,1,,60000,"Estadio Olï¿½mpico Universitario, Mexico City",Group stage,02-06-1986,3–1,Mexico,1986
Morocco,Poland,0,,0,,19900,"Estadio Universitario, Monterrey",Group stage,02-06-1986,0–0,Mexico,1986
